@id,Handle
http://imagesearch-test1.library.illinois.edu/cdm/ref/collection/motley-new/id/70,http://hdl.handle.net/10111/Motley:750410-017
http://imagesearch-test1.library.illinois.edu/cdm/ref/collection/motley-new/id/797,http://hdl.handle.net/10111/Motley:000006_003
http://imagesearch-test1.library.illinois.edu/cdm/ref/collection/motley-new/id/798,http://hdl.handle.net/10111/Motley:000006_004
http://imagesearch-test1.library.illinois.edu/cdm/ref/collection/motley-new/id/799,http://hdl.handle.net/10111/Motley:000006_005
http://imagesearch-test1.library.illinois.edu/cdm/ref/collection/motley-new/id/800,http://hdl.handle.net/10111/Motley:000006_006
http://imagesearch-test1.library.illinois.edu/cdm/ref/collection/motley-new/id/185,http://hdl.handle.net/10111/Motley:670221-037_a
http://imagesearch-test1.library.illinois.edu/cdm/ref/collection/motley-new/id/5056,http://hdl.handle.net/10111/Motley:530428-105
http://imagesearch-test1.library.illinois.edu/cdm/ref/collection/motley-new/id/5057,http://hdl.handle.net/10111/Motley:530428-107
http://imagesearch-test1.library.illinois.edu/cdm/ref/collection/motley-new/id/5055,http://hdl.handle.net/10111/Motley:530428-109
http://imagesearch-test1.library.illinois.edu/cdm/ref/collection/motley-new/id/4978,http://hdl.handle.net/10111/Motley:530428-240
http://imagesearch-test1.library.illinois.edu/cdm/ref/collection/motley-new/id/4992,http://hdl.handle.net/10111/Motley:530428-229
http://imagesearch-test1.library.illinois.edu/cdm/ref/collection/motley-new/id/5025,http://hdl.handle.net/10111/Motley:530428-158
http://imagesearch-test1.library.illinois.edu/cdm/ref/collection/motley-new/id/4991,http://hdl.handle.net/10111/Motley:530428-226
http://imagesearch-test1.library.illinois.edu/cdm/ref/collection/motley-new/id/4985,http://hdl.handle.net/10111/Motley:530428-225
http://imagesearch-test1.library.illinois.edu/cdm/ref/collection/motley-new/id/5037,http://hdl.handle.net/10111/Motley:530428-121
http://imagesearch-test1.library.illinois.edu/cdm/ref/collection/motley-new/id/5038,http://hdl.handle.net/10111/Motley:530428-124
http://imagesearch-test1.library.illinois.edu/cdm/ref/collection/motley-new/id/5039,http://hdl.handle.net/10111/Motley:530428-125
http://imagesearch-test1.library.illinois.edu/cdm/ref/collection/motley-new/id/5042,http://hdl.handle.net/10111/Motley:530428-129
http://imagesearch-test1.library.illinois.edu/cdm/ref/collection/motley-new/id/5026,http://hdl.handle.net/10111/Motley:530428-218
http://imagesearch-test1.library.illinois.edu/cdm/ref/collection/motley-new/id/4995,http://hdl.handle.net/10111/Motley:530428-212
http://imagesearch-test1.library.illinois.edu/cdm/ref/collection/motley-new/id/4975,http://hdl.handle.net/10111/Motley:530428-166
http://imagesearch-test1.library.illinois.edu/cdm/ref/collection/motley-new/id/5050,http://hdl.handle.net/10111/Motley:530428-165
http://imagesearch-test1.library.illinois.edu/cdm/ref/collection/motley-new/id/4973,http://hdl.handle.net/10111/Motley:530428-159
http://imagesearch-test1.library.illinois.edu/cdm/ref/collection/motley-new/id/5047,http://hdl.handle.net/10111/Motley:530428-156
http://imagesearch-test1.library.illinois.edu/cdm/ref/collection/motley-new/id/5048,http://hdl.handle.net/10111/Motley:530428-155
http://imagesearch-test1.library.illinois.edu/cdm/ref/collection/motley-new/id/5043,http://hdl.handle.net/10111/Motley:530428-130
http://imagesearch-test1.library.illinois.edu/cdm/ref/collection/motley-new/id/4805,http://hdl.handle.net/10111/Motley:380128-007
http://imagesearch-test1.library.illinois.edu/cdm/ref/collection/motley-new/id/4941,http://hdl.handle.net/10111/Motley:461226-016
http://imagesearch-test1.library.illinois.edu/cdm/ref/collection/motley-new/id/4852,http://hdl.handle.net/10111/Motley:461226-041A
http://imagesearch-test1.library.illinois.edu/cdm/ref/collection/motley-new/id/4898,http://hdl.handle.net/10111/Motley:470000-057A
http://imagesearch-test1.library.illinois.edu/cdm/ref/collection/motley-new/id/4932,http://hdl.handle.net/10111/Motley:470000-058
http://imagesearch-test1.library.illinois.edu/cdm/ref/collection/motley-new/id/4874,http://hdl.handle.net/10111/Motley:480702-025
http://imagesearch-test1.library.illinois.edu/cdm/ref/collection/motley-new/id/5002,http://hdl.handle.net/10111/Motley:480702-026
http://imagesearch-test1.library.illinois.edu/cdm/ref/collection/motley-new/id/4847,http://hdl.handle.net/10111/Motley:490103-090
http://imagesearch-test1.library.illinois.edu/cdm/ref/collection/motley-new/id/4971,http://hdl.handle.net/10111/Motley:490201-001
http://imagesearch-test1.library.illinois.edu/cdm/ref/collection/motley-new/id/4832,http://hdl.handle.net/10111/Motley:381104-016
http://imagesearch-test1.library.illinois.edu/cdm/ref/collection/motley-new/id/4976,http://hdl.handle.net/10111/Motley:500518-002
http://imagesearch-test1.library.illinois.edu/cdm/ref/collection/motley-new/id/4988,http://hdl.handle.net/10111/Motley:501218-024
http://imagesearch-test1.library.illinois.edu/cdm/ref/collection/motley-new/id/5014,http://hdl.handle.net/10111/Motley:501218-032
http://imagesearch-test1.library.illinois.edu/cdm/ref/collection/motley-new/id/4820,http://hdl.handle.net/10111/Motley:501218-034
http://imagesearch-test1.library.illinois.edu/cdm/ref/collection/motley-new/id/4915,http://hdl.handle.net/10111/Motley:501218-043
http://imagesearch-test1.library.illinois.edu/cdm/ref/collection/motley-new/id/4890,http://hdl.handle.net/10111/Motley:510130-001
http://imagesearch-test1.library.illinois.edu/cdm/ref/collection/motley-new/id/4948,http://hdl.handle.net/10111/Motley:510130-017
http://imagesearch-test1.library.illinois.edu/cdm/ref/collection/motley-new/id/4938,http://hdl.handle.net/10111/Motley:511017-012
http://imagesearch-test1.library.illinois.edu/cdm/ref/collection/motley-new/id/4911,http://hdl.handle.net/10111/Motley:511017-013
http://imagesearch-test1.library.illinois.edu/cdm/ref/collection/motley-new/id/4974,http://hdl.handle.net/10111/Motley:511017-020
http://imagesearch-test1.library.illinois.edu/cdm/ref/collection/motley-new/id/4842,http://hdl.handle.net/10111/Motley:511017-021
http://imagesearch-test1.library.illinois.edu/cdm/ref/collection/motley-new/id/4989,http://hdl.handle.net/10111/Motley:511017-029
http://imagesearch-test1.library.illinois.edu/cdm/ref/collection/motley-new/id/4977,http://hdl.handle.net/10111/Motley:511213-001
http://imagesearch-test1.library.illinois.edu/cdm/ref/collection/motley-new/id/4891,http://hdl.handle.net/10111/Motley:530324-027
http://imagesearch-test1.library.illinois.edu/cdm/ref/collection/motley-new/id/4886,http://hdl.handle.net/10111/Motley:530324-050
http://imagesearch-test1.library.illinois.edu/cdm/ref/collection/motley-new/id/4855,http://hdl.handle.net/10111/Motley:560529-011
http://imagesearch-test1.library.illinois.edu/cdm/ref/collection/motley-new/id/4856,http://hdl.handle.net/10111/Motley:560529-012
http://imagesearch-test1.library.illinois.edu/cdm/ref/collection/motley-new/id/4843,http://hdl.handle.net/10111/Motley:560529-014
