Person,Role,Website,Link,Notes
,,LC Name Authority,http://id.loc.gov/authorities/names/n79109326.html,
,,Wikipedia,https://en.wikipedia.org/wiki/Darius_Milhaud,
,,Theatricalia,http://theatricalia.com/person/qb4/darius-milhaud,
"Anderson, Judith, Dame, 1897-1992 -- birth name Anderson, Judith Margaret",actor,,,
,,LC Name Authority,http://id.loc.gov/authorities/names/n82225115.html,
,,Wikipedia,https://en.wikipedia.org/wiki/Judith_Anderson,
,,Theatricalia,http://theatricalia.com/person/qb5/judith-anderson,
"Howe, George, 1900-1986",actor,,,
,,LC Name Authority,http://id.loc.gov/authorities/names/no2007151731.html,
,,Wikipedia,https://en.wikipedia.org/wiki/George_Howe_%28actor%29,
,,IMDb,http://www.imdb.com/name/nm0397823/,
,,Theatricalia,http://theatricalia.com/person/1rh/george-howe,
"Poliakoff, Vera, 1911-1992 -- maiden name Vera Lindsay",actor,,,
,,Wikipedia,https://en.wikipedia.org/wiki/Vera_Lindsay,
,,Theatricalia,http://theatricalia.com/person/qbs/vera-poliakoff,
,,Google Books -- The London Stage 1930-1939 by J.P. Wearing,"https://books.google.com/books?id=Z2mYAwAAQBAJ&pg=PA128&lpg=PA128&dq=Poliakoff,+Vera&source=bl&ots=mMhOrn7Inx&sig=7FcML0R0TwXS5m7-ztwlWEzPtak&hl=en&sa=X&ved=0ahUKEwjznq_looDLAhUsl4MKHQooDcYQ6AEISTAM#v=onepage&q=Poliakoff%2C%20Vera&f=false",
"Garcia Lorca, Federico, 1898-1936",,,,
,,LC Name Authority,http://id.loc.gov/authorities/names/n79034425.html,
,,Wikipedia,https://en.wikipedia.org/wiki/Federico_Garc%C3%ADa_Lorca,
,,Theatricalia,http://theatricalia.com/person/3bt/federico-garcia-lorca,
"Copland, Aaron, 1900-1990",,,,
,,LC Name Authority,http://id.loc.gov/authorities/names/n79089419.html,
,,Wikipedia,https://en.wikipedia.org/wiki/Aaron_Copland,
,,LoC Collection,https://www.loc.gov/collections/aaron-copland/about-this-collection/,
"De Mille, Agnes, 1905-1993",actor/choreographer,,,
,,LC Name Authority,http://id.loc.gov/authorities/names/n80001412.html,
,,Wikipedia,https://en.wikipedia.org/wiki/Agnes_de_Mille,
,,Encyclopedia Britannica,http://www.britannica.com/biography/Agnes-de-Mille,
"Gozzi, Carlo, 1720-1806",author,,,
,,LC Name Authority,http://id.loc.gov/authorities/names/n2002038364.html,
,,Wikipedia,https://en.wikipedia.org/wiki/Carlo_Gozzi,
,,Theatricalia,http://theatricalia.com/person/stb/carlo-gozzi,
,,Encyclopedia Britannica,http://www.britannica.com/biography/Carlo-Conte-Gozzi,
"Wildman, Carl",translator,,,
,,Theatricalia,http://theatricalia.com/person/t3p/carl-wildman,
,,The King Stag by Carlo Gozzi found on Amazon,http://www.amazon.com/The-King-Stag-Carlo-Gozzi/dp/B000N82XR2,
,,The Oxford Guide to Literature in English Translation by Peter France -- Found on GoogleBooks,"https://books.google.com/books?id=pmNoS2dndKsC&pg=PA488&lpg=PA488&dq=Wildman,+Carl+king+stag&source=bl&ots=MzTvDQn8Zl&sig=TMOgWZeYYWLvrEv4Gu9L2BmNOfM&hl=en&sa=X&ved=0ahUKEwiTlYT5wYDLAhVKSyYKHQX7BmYQ6AEINzAF#v=onepage&q=Wildman%2C%20Carl%20king%20stag&f=false",
"Barbier, Pierre",translator,,,
,,The London Stage 1940-1949 by J.P. Wearing -- found on GoogleBooks,"https://books.google.com/books?id=mreCBAAAQBAJ&pg=PA277&lpg=PA277&dq=Barbier,+Pierre+king+stag&source=bl&ots=YloALqzfbj&sig=s7N42-9D0mOgeQWkk0l-4nDzF_w&hl=en&sa=X&ved=0ahUKEwiIlIy-w4DLAhVINiYKHdaaAZEQ6AEIKjAD#v=onepage&q=Barbier%2C%20Pierre%20king%20stag&f=false",
"Devine, George, 1910-1966",director,,,
,,LC Name Authority,http://id.loc.gov/authorities/names/n2009033849.html,
,,Wikipedia,https://en.wikipedia.org/wiki/George_Devine,
,,Worldcat Identities,http://www.worldcat.org/identities/lccn-n2009-33849/,
,,IMDb,http://www.imdb.com/name/nm0222627/,
,,Theatricalia,http://theatricalia.com/person/2fz/george-devine,
"Jones, Inigo, 1573-1652",architect,,,
,,LC Name Authority,http://id.loc.gov/authorities/names/n79045469.html,
,,Wikipedia,https://en.wikipedia.org/wiki/Inigo_Jones,
"Chekhov, Anton, 1860-1904",,,,
,,LC Name Authority,http://id.loc.gov/authorities/names/n79130807.html,
,,Wikipedia,https://en.wikipedia.org/wiki/Anton_Chekhov,
,,Theatricalia,http://theatricalia.com/person/330/anton-chekhov,
"Ashcroft, Peggy, Dame, 1907-1991 -- aka Edith Margaret Emily Ashcroft",actor,,,
,,LC Name Authority,http://id.loc.gov/authorities/names/n84130841.html,
,,Wikipedia,https://en.wikipedia.org/wiki/Peggy_Ashcroft,
,,IMDb,http://www.imdb.com/name/nm0001919/,
,,Theatricalia,http://theatricalia.com/person/2c8/peggy-ashcroft,
"Baddeley, Angela, 1904-1976 -- aka Madeleine Angela Clinton-Baddeley",actor,,,
,,LC Name Authority,http://id.loc.gov/authorities/names/no99049509.html,
,,Wikipedia,https://en.wikipedia.org/wiki/Angela_Baddeley,
,,IMDb,http://www.imdb.com/name/nm0045967/,
,,Theatricalia,http://theatricalia.com/person/2jx/angela-baddeley,
"Schwarz, Eugene, 1896-1958 -- Russian spelling Shvart?s, Evgeni?, also Schwartz, Evgeny",playwright,,,Playwright - not original author
,,LC Name Authority,http://id.loc.gov/authorities/names/n83147484.html,
,,Wikipedia,https://en.wikipedia.org/wiki/Evgeny_Schwartz,
,,Theatricalia,http://theatricalia.com/person/t3q/eugene-schwarz,
"Weil, Rudolf, 1848-1914",editor,,,
,,LC Name Authority,http://id.loc.gov/authorities/names/no2015065471.html,
,,Wikipedia,https://translate.google.com/translate?hl=en&sl=de&u=https://de.wikipedia.org/wiki/Rudolf_Weil&prev=search,Unsure of this information
,,Goodreads,http://www.goodreads.com/book/show/15511187-the-snow-queen,Version of Hans Christian Anderson story
,,Goodreads,http://www.goodreads.com/book/show/6262764-the-snow-queen,Version of Hans Christian Anderson story
,,Internet Archive - Snow Queen,https://archive.org/stream/snowqueen00sain/snowqueen00sain_djvu.txt,Stage adaptation
"Suria, Mugito",editor,,,
,,Goodreads,http://www.goodreads.com/book/show/15511187-the-snow-queen,Version of Hans Christian Anderson story
,,Goodreads,http://www.goodreads.com/book/show/6262764-the-snow-queen,Version of Hans Christian Anderson story
,,Internet Archive - Snow Queen,https://archive.org/stream/snowqueen00sain/snowqueen00sain_djvu.txt,Stage adaptation
"Wreford, Edgar, 1923-2006",actor,,,
,,Wikipedia,https://en.wikipedia.org/wiki/Edgar_Wreford,
,,IMDb,http://www.imdb.com/name/nm0942092/,
,,"The London Stage 1950-1959: A Calendar of Productions, Performers, and Personnel by J. P. Wearing",p. 266,
"Duguid, Peter, 1923-2009 -- birth name George Duguid",actor,,,
,,LC Name Authority,http://id.loc.gov/authorities/names/no2010074267.html,
,,IMDb,http://www.imdb.com/name/nm0241017/,
,,Theatricalia,http://theatricalia.com/person/2h0/peter-duguid,
"Brown, June, 1927-",actor,,,
,,LC Name Authority,http://id.loc.gov/authorities/names/no99087142.html,
,,Wikipedia,https://en.wikipedia.org/wiki/June_Brown,
,,IMDb,http://www.imdb.com/name/nm0113942/,
,,Theatricalia,http://theatricalia.com/person/2m8/june-brown,
"Ronaldson, Anne",actor,,,
,,Theatricalia,http://theatricalia.com/person/tcr/anne-ronaldson,
,,The London Stage 1950-1959 by J.P. Wearing,"https://books.google.com/books?id=5g2PBAAAQBAJ&pg=PA118&lpg=PA118&dq=Ronaldson,+Anne+old+vic&source=bl&ots=izuGgeGSyA&sig=nEMIWySEPqcCp2XC2-6UEtJaCZo&hl=en&sa=X&ved=0ahUKEwiP98r61ITLAhWIlx4KHZ-uCBEQ6AEIHDAA#v=onepage&q=Ronaldson%2C%20Anne%20old%20vic&f=false",
"Vincent, June, 1920-2008 -- birth name Dorothy June Smith",actor,,,
,,LC Name Authority,http://id.loc.gov/authorities/names/n78073881.html,
,,Wikipedia,https://en.wikipedia.org/wiki/June_Vincent,
,,IMDb,http://www.imdb.com/name/nm0898687/,
,,Theatricalia,http://theatricalia.com/person/t3w/june-vincent,
"Powys, Thomas, c. 1925-1977",actor,,,
,,Wikipedia,https://en.wikipedia.org/wiki/Powys_Thomas,
,,IMDb,http://www.imdb.com/name/nm0859374/,
,,Canadian Theatre Encyclopedia,http://www.canadiantheatre.com/dict.pl?term=Thomas%2C%20Powys,
,,,,
"Wilson, Jean",actor,,,
,,Theatricalia,http://theatricalia.com/person/2hg/jean-wilson,
,,The London Stage 1940-1949 by J.P. Wearing -- found on GoogleBooks,https://books.google.com/books?id=mreCBAAAQBAJ&pg=PA419&lpg=PA419&dq=jean+wilson+old+vic&source=bl&ots=YloANkDfip&sig=t6XaKAwkm7BRDR4r1RuBO3LaWQU&hl=en&sa=X&ved=0ahUKEwip-OWa3ITLAhWB7CYKHegfBagQ6AEIKzAD#v=onepage&q=jean%20wilson%20old%20vic&f=false,
,,gettyimages,http://www.gettyimages.com/detail/news-photo/british-actress-jean-wilson-who-is-the-young-vic-companys-news-photo/3381788,
,,,http://theatricalia.com/person/2hg/jean-wilson/past,
"Garley, John, 1926-1957",actor,,,
,,Wikipedia,https://en.wikipedia.org/wiki/June_Brown,"Not his Wikipedia page, his former wife's"
,,IMDb,http://www.imdb.com/name/nm3963095/,
,,Theatricalia,http://theatricalia.com/person/2ky/john-garley,
"Turner, Doreen, 1918-",,,,
,,IMDb,http://www.imdb.com/name/nm0877515/,
,,tentative,http://theatricalia.com/person/tcs/doreen-turner,
"Brascher, Barbara",actor,,,
,,The London Stage 1940-1949 by J.P. Wearing -- found on GoogleBooks,"https://books.google.com/books?id=mreCBAAAQBAJ&pg=PA419&lpg=PA419&dq=Brascher,+Barbara+old+vic&source=bl&ots=YloANkFaio&sig=U5jfDu8Q6PLeJ6PCXiA0ZNIOX7M&hl=en&sa=X&ved=0ahUKEwiR-4Pm4YTLAhUMdT4KHQfhCMsQ6AEILDAD#v=onepage&q=Brascher%2C%20Barbara%20old%20vic&f=false",
,,Theatricalia,http://theatricalia.com/person/tcq/barbara-bracher,
"O'Riordan, Shaun, 1927-",actor,,,
,,LC Name Authority,http://id.loc.gov/authorities/names/n2012060178.html,
,,IMDb,http://www.imdb.com/name/nm0642517/,
,,The London Stage 1950-1959 by J.P. Wearing,"https://books.google.com/books?id=5g2PBAAAQBAJ&pg=PA898&lpg=PA898&dq=O%27Riordan,+Shaun+1927&source=bl&ots=izuGgeKRCI&sig=uDD0Hj9Z30JO6xqPT_3juBfzb-I&hl=en&sa=X&ved=0ahUKEwjGt_7U44TLAhWF7yYKHSgwBRQQ6AEIKzAD#v=onepage&q=O%27Riordan%2C%20Shaun%20&f=false",
,,Theatricalia,http://theatricalia.com/person/t1d/shaun-o-riordan,
"McLean, Lauchlan",actor,,,
,,The London Stage 1950-1959 by J.P. Wearing,"https://books.google.com/books?id=5g2PBAAAQBAJ&pg=PA71&lpg=PA71&dq=McLean,+Lauchlan+old+vic&source=bl&ots=izuGgeKTyE&sig=e7SO4_v5ak5NSn5rhTUmcQI0VWs&hl=en&sa=X&ved=0ahUKEwijkZOf5ITLAhUEKiYKHaomDCAQ6AEIHDAA#v=onepage&q=McLean%2C%20Lauchlan%20old%20vic&f=false",
,,Theatricalia,http://theatricalia.com/person/t5n/lauchlan-maclean,
"van Bridge, Tony, 1917-2004",actor,,,
,,LC Name Authority,http://id.loc.gov/authorities/names/n96076795.html,
,,Wikipedia,https://en.wikipedia.org/wiki/Tony_Van_Bridge,
,,IMDb,http://www.imdb.com/name/nm0885785/,
,,Theatricalia,http://theatricalia.com/person/t3v/anthony-van-bridge,
"Lefevre, Pierre",actor,,,
,,IMDb,http://www.imdb.com/name/nm0498955/,
,,Theatricalia,http://theatricalia.com/person/qb2/pierre-lefevre,
"Morrish, Ann, 1928-",actor,,,
,,Wikipedia,https://en.wikipedia.org/wiki/Ann_Morrish,
,,IMDb,http://www.imdb.com/name/nm0607046/,
,,Theatricalia,http://theatricalia.com/person/t1c/ann-morrish,
"Ballantine, Sheila",actor,,,
,,IMDb,http://www.imdb.com/name/nm0050549/,
,,Theatricalia,http://theatricalia.com/person/5ca/sheila-ballantine,
"Blake, Mervyn, 1907-2003",actor,,,
,,LC Name Authority,http://id.loc.gov/authorities/names/n00037949.html,
,,Wikipedia,https://en.wikipedia.org/wiki/Mervyn_Blake,
,,IMDb,http://www.imdb.com/name/nm0086656/,
,,Theatricalia,http://theatricalia.com/person/2eq/mervyn-blake,
,,The London Stage 1940-1949 by J.P. Wearing -- found on GoogleBooks,"https://books.google.com/books?id=mreCBAAAQBAJ&pg=PA531&lpg=PA531&dq=Blake,+Mervyn,+1907-2003&source=bl&ots=YloBEkCcij&sig=v8kDt40Xcynp4AEKq_8VJWsNPR4&hl=en&sa=X&ved=0ahUKEwitqfjvy4fLAhWG4yYKHRE2DxAQ6AEILDAD#v=onepage&q=Blake%2C%20Mervyn&f=false",
"Wellman, James",actor,,,
,,IMDb,http://www.imdb.com/name/nm0920053/,
