Person,Role,Website,Link,Notes
,,Theatricalia,http://theatricalia.com/person/sks/rupert-davies,
"Livesey, Roger, 1906-1976",actor,,,
,,LC Name Authority,,
,,Wikipedia,https://en.wikipedia.org/wiki/Roger_Livesey,
,,IMDb,http://www.imdb.com/name/nm0515193/,
,,Worldcat Identities,http://www.worldcat.org/identities/lccn-n88-240614/,
,,Theatricalia,http://theatricalia.com/person/n11/roger-livesey,
"Kay, Bernard, 1928-2014",actor,,,
,,LC Name Authority,,
,,Wikipedia,https://en.wikipedia.org/wiki/Bernard_Kay,
,,IMDb,http://www.imdb.com/name/nm0443001/,
,,Theatricalia,http://theatricalia.com/person/2h6/bernard-kay,
"Robinson, Rex, 1926-2015",actor,,,
,,LC Name Authority,,
,,Wikipedia,https://en.wikipedia.org/wiki/Rex_Robinson_%28actor%29,
,,IMDb,http://www.imdb.com/name/nm0733011/,
,,Theatricalia,http://theatricalia.com/person/2ka/rex-robinson,
"Rogers, Paul, 1917-2013",actor,,,
,,LC Name Authority,,
,,Wikipedia,https://en.wikipedia.org/wiki/Paul_Rogers_%28actor%29,
,,IMDb,http://www.imdb.com/name/nm0737121/,
,,Theatricalia,http://theatricalia.com/person/1za/paul-rogers,
,,Encyclopedia Britannica,http://www.britannica.com/biography/Paul-Rogers,
"Smith, Brian, 1932-",actor,,,
,,IMDb,http://www.imdb.com/name/nm0807519/,
,,Theatricalia,http://theatricalia.com/person/38h/brian-smith,
"Eddison, Robert, 1908-1991",actor,,,
,,LC Name Authority,,
,,Wikipedia,https://en.wikipedia.org/wiki/Robert_Eddison,
,,IMDb,http://www.imdb.com/name/nm0248848/,
,,Theatricalia,http://theatricalia.com/person/2da/robert-eddison,
"Montague, Lee, 1927-",actor,,,
,,LC Name Authority,,
,,Wikipedia,https://en.wikipedia.org/wiki/Lee_Montague,
,,Theatricalia,http://theatricalia.com/person/2k9/lee-montague,
,,IMDb,http://www.imdb.com/name/nm0598777/,
"Burgess, Christopher, 1926-2013",actor,,,
,,IMDb,http://www.imdb.com/name/nm0121268/,
,,Theatricalia,http://theatricalia.com/person/tkz/christopher-burgess,
"Smith, Fabian",actor,,,
,,IMDb,http://www.imdb.com/name/nm7103579/,
,,Theatricalia - tentative,http://theatricalia.com/person/s60/fabian-smith,
"Jameson, Pauline, 1920-2007",actor,,,
,,IMDb,http://www.imdb.com/name/nm0417070/,
,,Theatricalia,http://theatricalia.com/person/37e/pauline-jameson,
"Rogers, Elizabeth, 1934-2006, aka Betty Jane Rogers",actor,,,
,,LC Name Authority,,
,,Wikipedia,https://en.wikipedia.org/wiki/Elizabeth_Rogers,
,,IMDb,http://www.imdb.com/name/nm0736861/,
,,Theatricalia,http://theatricalia.com/person/tm6/elizabeth-rogers,
,,"A Biographical Dictionary of Actors, Actresses, Musicians, Dancers, Managers, and Other Stage Personnel in London By Philip H. Highfill, Kalman A. Burnim, Edward A. Langhans",https://books.google.com/books?id=NfcTUoBuM9IC&pg=PA64&lpg=PA64&dq=elizabeth+rogers+actress&source=bl&ots=I7lBxHOdS7&sig=MC7hphSktVfHVTkzMRmG8AHk8WE&hl=en&sa=X&ved=0ahUKEwjwuvj334nLAhWG4iYKHbBVD_cQ6AEIUjAJ#v=onepage&q=elizabeth%20rogers%20actress&f=false,
"Wylie, Mary",actor,,,
,,Theatricalia,http://theatricalia.com/person/tm8/mary-wylie,
,,IMDb,http://www.imdb.com/name/nm2310914/,
"Davey, Nuna, 1902-1977",actor,,,
,,IMDb,http://www.imdb.com/name/nm0202743/,
,,Theatricalia,http://theatricalia.com/person/swr/nuna-davey,
"McKern, Leo, 1920-2002",actor,,,
,,LC Name Authority,,
,,Wikipedia,https://en.wikipedia.org/wiki/Leo_McKern,
,,IMDb,http://www.imdb.com/name/nm0571674/,
,,Theatricalia,http://theatricalia.com/person/2g6/leo-mckern,
"Ebdon, John, 1923-2005",actor,,,
,,IMDb,http://www.imdb.com/name/nm2195936/,
,,Theatricalia,http://theatricalia.com/person/tme/john-ebdon,
"Chisholm, Margaret, 1895-1969",actor,,,
,,Wikipedia,https://en.wikipedia.org/wiki/Sheila_Chisholm,Not sure about source
,,Theatricalia,http://theatricalia.com/person/2er/margaret-chisholm,
"Hansard, Paul, 1922-2013",actor,,,
,,LC Name Authority,,
,,Wikipedia,https://en.wikipedia.org/wiki/Paul_Hansard,
,,IMDb,http://www.imdb.com/name/nm0360600/,
,,Theatricalia,http://theatricalia.com/person/298/paul-hansard,
"Flecker, James Elroy, 1884-1915",author,,,
,,Theatricalia,http://theatricalia.com/person/kcw/james-elroy-flecker,
,,Wikipedia,https://en.wikipedia.org/wiki/James_Elroy_Flecker,
"Dean, Basil, 1888-1978 ",director,,,
,,Theatricalia,http://theatricalia.com/person/y1/basil-dean,
,,Wikipedia,https://en.wikipedia.org/wiki/Basil_Dean,
,,IMDb,http://www.imdb.com/name/nm0212704/,
"Welles, Orson, 1915-1985",director,,,
,,Theatricalia,http://theatricalia.com/person/1s4t/orson-welles,
,,Wikipedia,https://en.wikipedia.org/wiki/Orson_Welles,
,,IMDb,http://www.imdb.com/name/nm0000080/,
"Godfrey, Leslie",actor,,,
,,IMDb,http://www.imdb.com/name/nm0323993/,Not sure about source
,,Theatricalia,http://theatricalia.com/person/1y9w/leslie-godfrey,
"Ure, Gudrun, 1926-",actor,,,
,,LC Name Authority,,
,,Wikipedia,https://en.wikipedia.org/wiki/Gudrun_Ure,
,,IMDb,http://www.imdb.com/name/nm0881825/,
,,Theatricalia,http://theatricalia.com/person/163e/gudrun-ure,
,,"The London Stage 1950-1959: A Calendar of Productions, Performers, and Personnel by J. P. Wearing","https://books.google.com/books?id=5g2PBAAAQBAJ&pg=PA956&lpg=PA956&dq=Ure,+Gudrun,+1926-&source=bl&ots=izuH8dKTwJ&sig=LDy50DOt4tEbv8P-Exv0ivUvlSw&hl=en&sa=X&ved=0ahUKEwjOvqX_p4rLAhUCMyYKHVyyBhYQ6AEIOzAG#v=onepage&q=Ure%2C%20Gudrun&f=false",
"Pentelow, Arthur, 1924-1991",actor,,,
,,LC Name Authority,,
,,Wikipedia,https://en.wikipedia.org/wiki/Arthur_Pentelow,
,,IMDb,http://www.imdb.com/name/nm0672372/,
,,Theatricalia,http://theatricalia.com/person/tr7/arthur-pentelow,
,,"The London Stage 1950-1959: A Calendar of Productions, Performers, and Personnel by J. P. Wearing",,
,,,,
"Francis, John",actor,,,
,,Theatricalia,http://theatricalia.com/person/1227/john-francis,
,,"The London Stage 1950-1959: A Calendar of Productions, Performers, and Personnel by J. P. Wearing",,
"Saxon, Cyril",actor,,,
,,Theatricalia,http://theatricalia.com/person/1ya0/cyril-saxon,
,,IMDb,http://www.imdb.com/name/nm2022469/,
,,"The London Stage 1950-1959: A Calendar of Productions, Performers, and Personnel by J. P. Wearing",,
"Hurley, Thomas",actor,,,
,,Theatricalia,http://theatricalia.com/person/1y9y/thomas-hurley,
,,"The London Stage 1950-1959: A Calendar of Productions, Performers, and Personnel by J. P. Wearing",,
"Marshall, Peter",actor,,,
,,Theatricalia,http://theatricalia.com/person/se9/peter-marshall,
,,"The London Stage 1950-1959: A Calendar of Productions, Performers, and Personnel by J. P. Wearing",,
"Baird, Ian",actor,,,
,,Theatricalia,http://theatricalia.com/person/1y9s/ian-baird,
,,"The London Stage 1950-1959: A Calendar of Productions, Performers, and Personnel by J. P. Wearing",,
"Cooper, Giles",actor,,,
,,Theatricalia,http://theatricalia.com/person/33b/giles-cooper,
,,"The London Stage 1950-1959: A Calendar of Productions, Performers, and Personnel by J. P. Wearing",,
"Godfrey, Leslie",actor,,,
,,Theatricalia,http://theatricalia.com/person/1y9w/leslie-godfrey,
,,"The London Stage 1950-1959: A Calendar of Productions, Performers, and Personnel by J. P. Wearing",,
"Audley, Maxine, 1923-1992",actor,,,
,,LC,,
,,Wikipedia,https://en.wikipedia.org/wiki/Maxine_Audley,
,,IMDb,http://www.imdb.com/name/nm0041602/,
,,Theatricalia,http://theatricalia.com/person/2b6/maxine-audley,
"Hart, George",actor,,,
,,IMDb,http://www.imdb.com/name/nm3065041/,Not sure about source
,,Theatricalia,http://theatricalia.com/person/2h3/george-hart/past,
,,"The London Stage 1950-1959: A Calendar of Productions, Performers, and Personnel by J. P. Wearing",p. 268,
"Morant, Philip, 1909-",actor,,,
,,LC Name Authority,http://id.loc.gov/authorities/names/no90014685,
,,Wikipedia,https://en.wikipedia.org/wiki/Philip_Morant,
,,IMDb,http://www.imdb.com/name/nm0603081/,
,,Theatricalia,http://theatricalia.com/person/1ws/philip-morant,
"Townsend, Alan, 1925-1964",actor,,,
,,Theatricalia,http://theatricalia.com/person/2cs/alan-townsend,
,,IMDb,http://www.imdb.com/name/nm1999312/,
,,Theatricalia,http://theatricalia.com/person/2cs/alan-townsend,
"Clinton, Dennis, 1925-2005",actor,,,
,,IMDb,http://www.imdb.com/name/nm0166915/,
,,Theatricalia,http://theatricalia.com/person/2gy/dennis-clinton,
,,"The London Stage 1950-1959: A Calendar of Productions, Performers, and Personnel by J. P. Wearing",p. 268,
"Eccles, Donald, 1908-1986",actor,,,
,,LC Name Authority,,
,,Wikipedia,https://en.wikipedia.org/wiki/Donald_Eccles,
,,IMDb,http://www.imdb.com/name/nm0248324/,
,,Theatricalia,http://theatricalia.com/person/1x8/donald-eccles,
"Hayes, Michael, 1929-2014",actor (director,,,
,,LC Name Authority,,
,,Wikipedia,https://en.wikipedia.org/wiki/Michael_Hayes_%28director%29,
,,IMDb,http://www.imdb.com/name/nm0371157/,
,,Theatricalia,http://theatricalia.com/person/2cj/michael-hayes,
"Norris, Peter, 1930-",actor,,,
,,Theatricalia,http://theatricalia.com/person/29e/peter-norris,
,,Wikipedia,https://en.wikipedia.org/wiki/Terry_Norris_%28actor%29,
,,IMDb,http://www.imdb.com/name/nm0635909/,
"Martin, Richard, 1930-",actor (director,,,Not sure about source
,,LC Name Authority,,
,,Wikipedia,https://en.wikipedia.org/wiki/Richard_Martin_%28television_director%29,
,,IMDb,http://www.imdb.com/name/nm0552957/?ref_=fn_al_nm_1,
,,Theatricalia,http://theatricalia.com/person/2f4/richard-martin,
,,"The London Stage 1950-1959: A Calendar of Productions, Performers, and Personnel by J. P. Wearing",,
"King, David",actor,,,
,,Theatricalia,http://theatricalia.com/person/2h8/david-king,
,,"The London Stage 1950-1959: A Calendar of Productions, Performers, and Personnel by J. P. Wearing",,
"Gray, Charles, 1928-2000",actor,,,
,,Theatricalia,http://theatricalia.com/person/2h2/charles-gray,
,,Wikipedia,https://en.wikipedia.org/wiki/Charles_Gray_%28actor%29,
,,IMDb,http://www.imdb.com/name/nm0336509/,
"Goring, Marius, 1912-1998",actor/director,,,
,,Theatricalia,http://theatricalia.com/person/2hk/marius-goring,
,,Wikipedia,https://en.wikipedia.org/wiki/Marius_Goring,
,,IMDb,http://www.imdb.com/name/nm0330961/,
"Kempson, Rachel, 1910-2003",actor,,,
,,Theatricalia,http://theatricalia.com/person/1vk/rachel-kempson,
,,Wikipedia,https://en.wikipedia.org/wiki/Rachel_Kempson,
,,IMDb,http://www.imdb.com/name/nm0447499/,
,,Encyclopedia Britannica,http://www.britannica.com/biography/Rachel-Kempson,
"Pleasence, Donald, 1919-1995",actor,,,
,,LC Name Authority,http://id.loc.gov/authorities/names/n88100581.html,
,,Wikipedia,https://en.wikipedia.org/wiki/Donald_Pleasence,
,,IMDb,http://www.imdb.com/name/nm0000587/,
,,Theatricalia,http://theatricalia.com/person/2hc/donald-pleasence,
"Bushelle, John",actor,,,
,,IMDb,http://www.imdb.com/name/nm0124250/,
,,Theatricalia,http://theatricalia.com/person/2gv/john-bushelle,
,p. 268,"The London Stage 1950-1959: A Calendar of Productions, Performers, and Personnel by J. P. Wearing","https://books.google.com/books?id=5g2PBAAAQBAJ&pg=PA956&lpg=PA956&dq=Ure,+Gudrun,+1926-&source=bl&ots=izuH8dKTwJ&sig=LDy50DOt4tEbv8P-Exv0ivUvlSw&hl=en&sa=X&ved=0ahUKEwjOvqX_p4rLAhUCMyYKHVyyBhYQ6AEIOzAG#v=snippet&q=antony%20and%20cleopatra%20bushelle&f=false",
"Shaw, Robert, 1927-1978",actor,,,
,,LC Name Authority,http://id.loc.gov/authorities/names/n50022186.html,
,,Wikipedia,https://en.wikipedia.org/wiki/Robert_Shaw_%28British_actor%29,
,,IMDb,http://www.imdb.com/name/nm0001727/,
,,Theatricalia,http://theatricalia.com/person/29h/robert-shaw,
,p. 268,"The London Stage 1950-1959: A Calendar of Productions, Performers, and Personnel by J. P. Wearing","https://books.google.com/books?id=5g2PBAAAQBAJ&pg=PA956&lpg=PA956&dq=Ure,+Gudrun,+1926-&source=bl&ots=izuH8dKTwJ&sig=LDy50DOt4tEbv8P-Exv0ivUvlSw&hl=en&sa=X&ved=0ahUKEwjOvqX_p4rLAhUCMyYKHVyyBhYQ6AEIOzAG#v=onepage&q=antony%20and%20cleopatra%20shaw&f=false",
"Chadwick, Diana",actor,,,
,,Theatricalia,http://theatricalia.com/person/2gw/diana-chadwick,
,,"The London Stage 1950-1959: A Calendar of Productions, Performers, and Personnel by J. P. Wearing",p. 268,
"Graham, Denys",actor,,,
,,Wikipedia,https://en.wikipedia.org/wiki/Denys_Graham,
,,IMDb,http://www.imdb.com/name/nm0334002/,
,,Theatricalia,http://theatricalia.com/person/2e5/denys-graham,
"Charlesworth, Marigold, 1926-2015",actor,,,
,,IMDb,http://www.imdb.com/name/nm0153211/,
,,Theatricalia,http://theatricalia.com/person/2gx/marigold-charlesworth,
,,Canadian Theatre Encyclopedia,http://www.canadiantheatre.com/dict.pl?term=Charlesworth%2C%20Marigold,
,,"The London Stage 1950-1959: A Calendar of Productions, Performers, and Personnel by J. P. Wearing",p. 268,
"Peacock, William",actor,,,
,,Theatricalia,http://theatricalia.com/person/2f8/william-peacock,
,,"The London Stage 1950-1959: A Calendar of Productions, Performers, and Personnel by J. P. Wearing",p. 268,
"Jones, Gareth, 1925-1958",actor,,,
,,Wikipedia,https://en.wikipedia.org/wiki/Gareth_Jones_%28actor%29,
,,IMDb,http://www.imdb.com/name/nm0428099/,
,,Theatricalia,http://theatricalia.com/person/2h5/gareth-jones,
,,"The London Stage 1950-1959: A Calendar of Productions, Performers, and Personnel by J. P. Wearing",p. 268,
"Andrews, Harry, 1911-1989",actor,,,
,,LC Name Authority,http://id.loc.gov/authorities/names/n84216048.html,
,,Wikipedia,https://en.wikipedia.org/wiki/Harry_Andrews,
,,IMDb,http://www.imdb.com/name/nm0028674/,
,,Worldcat Identities,http://www.worldcat.org/identities/lccn-n84-216048/,
,,Theatricalia,http://theatricalia.com/person/28x/harry-andrews,
,,"The London Stage 1950-1959: A Calendar of Productions, Performers, and Personnel by J. P. Wearing",p. 268,
"O'Brien, David",actor,,,
,,Theatricalia,http://theatricalia.com/person/247/david-obrien,
,,"The London Stage 1950-1959: A Calendar of Productions, Performers, and Personnel by J. P. Wearing",p. 268,
"Britton, Tony, 1924-",actor,,,
,,LC Name Authority,http://id.loc.gov/authorities/names/n84002502.html,
,,Wikipedia,https://en.wikipedia.org/wiki/Tony_Britton,
,,IMDb,http://www.imdb.com/name/nm0110231/,
,,Theatricalia,http://theatricalia.com/person/2gt/tony-britton,
,,"The London Stage 1950-1959: A Calendar of Productions, Performers, and Personnel by J. P. Wearing",p. 268,
"Turner, Michael, 1921-2012",actor,,,
,,LC Name Authority,http://id.loc.gov/authorities/names/no2012064078.html,
,,Wikipedia,https://en.wikipedia.org/wiki/Michael_Turner_%28actor%29,
,,IMDb,http://www.imdb.com/name/nm0877760/,
,,Theatricalia,http://theatricalia.com/person/2fj/michael-turner,
,,"The London Stage 1950-1959: A Calendar of Productions, Performers, and Personnel by J. P. Wearing",p. 268,
"Scroggins, Robert",actor,,,
,,Theatricalia,http://theatricalia.com/person/2he/robert-scroggins,
,,IMDb,http://www.imdb.com/name/nm0780167/,
"Whitehead, Peter",actor,,,
,,Theatricalia,http://theatricalia.com/person/q10/peter-whitehead,
,,"The London Stage 1930-1939: A Calendar of Productions, Performers, and Personnel by J. P. Wearing -- found on GoogleBooks",p. 625,
"Ralphs, Jack",actor,,,
,,"The London Stage 1940-1949: A Calendar of Productions, Performers, and Personnel by J.P. Wearing -- found on GoogleBooks",p. 419,
,,Theatricalia,http://theatricalia.com/person/t3t/jack-ralphs,
"Porter, Cole, 1891-1964",composer,,,
,,LC Name Authority,http://id.loc.gov/authorities/names/n80017862.html,
,,Wikipedia,https://en.wikipedia.org/wiki/Cole_Porter,
,,IMDb,http://www.imdb.com/name/nm0006234/,
,,IBDb,http://www.ibdb.com/Person/View/12257,
,,Theatricalia,http://theatricalia.com/person/609/cole-porter,
"Burrows, Abe, 1910-1985",author,,,
,,LC Name Authority,http://id.loc.gov/authorities/names/n80056759.html,
,,Wikipedia,https://en.wikipedia.org/wiki/Abe_Burrows,
,,IMDb,http://www.imdb.com/name/nm0123242/bio,
,,IBDb,http://www.ibdb.com/Person/View/3875,
,,Theatricalia,http://theatricalia.com/person/v94/abe-burrows,
"Kidd, Michael, 1915-2007",choreographer/dancer,,,
,,LC Name Authority,,
,,Wikipedia,https://en.wikipedia.org/wiki/Michael_Kidd,
,,IMDb,http://www.imdb.com/name/nm0452264/,
,,IBDb,http://www.ibdb.com/Person/View/15311,
"Lyel, Viola, 1900-1972",actor,,,
,,LC Name Authority,http://id.loc.gov/authorities/names/n2002071485.html,
,,Wikipedia,https://en.wikipedia.org/wiki/Viola_Lyel,
,,IMDb,http://www.imdb.com/name/nm0528017/,
,,Theatricalia,http://theatricalia.com/person/22x/viola-lyel,
"Cherrell, Gwen, 1926-",actor,,,
,,IMDb,http://www.imdb.com/name/nm0156029/,
,,Theatricalia,http://theatricalia.com/person/rzt/gwen-cherrell,
,,"The London Stage 1950-1959: A Calendar of Productions, Performers, and Personnel by J. P. Wearing",p. 266,
"Hordern, Michael, Sir, 1911-1995",actor,,,
,,LC Name Authority,http://id.loc.gov/authorities/names/n91003094.html,
,,Wikipedia,https://en.wikipedia.org/wiki/Michael_Hordern,
,,IMDb,http://www.imdb.com/name/nm0394588/,
,,Theatricalia,http://theatricalia.com/person/28k/michael-hordern,
"Greenwood, John",actor,,,
,,IMDb,http://www.imdb.com/name/nm1530508/,
,,Theatricalia,http://theatricalia.com/person/2j9/john-greenwood,
,,"The London Stage 1950-1959: A Calendar of Productions, Performers, and Personnel by J. P. Wearing",p. 266,
"Hardy, Robert, 1925-",actor,,,
,,LC Name Authority,http://id.loc.gov/authorities/names/n88051162.html,
,,Wikipedia,https://en.wikipedia.org/wiki/Robert_Hardy,
,,IMDb,http://www.imdb.com/name/nm0362735/,
,,Worldcat Identities,http://www.worldcat.org/identities/lccn-n88-51162/,
,,Theatricalia,http://theatricalia.com/person/299/robert-hardy,
"Maxwell, James, 1929-1995",actor,,,
,,Wikipedia,https://en.wikipedia.org/wiki/James_Maxwell_%28actor%29,
,,IMDb,http://www.imdb.com/name/nm0561718/,
,,Theatricalia,http://theatricalia.com/person/txv/james-maxwell,
,,"The London Stage 1950-1959: A Calendar of Productions, Performers, and Personnel by J. P. Wearing",p. 266,
"Hardy, Laurence, 1911-1982",actor,,,
,,IMDb,http://www.imdb.com/name/nm0362695/,
,,Theatricalia,http://theatricalia.com/person/1ym/laurence-hardy,
,,"The London Stage 1950-1959: A Calendar of Productions, Performers, and Personnel by J. P. Wearing",p. 266,
"Bateson, Timothy, 1926-2009",actor,,,
,,LC Name Authority,http://id.loc.gov/authorities/names/no89019141.html,
,,Wikipedia,https://en.wikipedia.org/wiki/Timothy_Bateson,
,,IMDb,http://www.imdb.com/name/nm0061063/,
,,Theatricalia,http://theatricalia.com/person/28y/timothy-bateson,
,,"The London Stage 1950-1959: A Calendar of Productions, Performers, and Personnel by J. P. Wearing",p. 266,
"Geidt, Jeremy, 1930-2013",actor,,,
,,LC Name Authority,http://id.loc.gov/authorities/names/no2011104596.html,
,,Wikipedia,https://en.wikipedia.org/wiki/Jeremy_Geidt,
,,IMDb,http://www.imdb.com/name/nm0311853/,
,,Theatricalia,http://theatricalia.com/person/t1b/jeremy-geidt,
,,"The London Stage 1950-1959: A Calendar of Productions, Performers, and Personnel by J. P. Wearing",p. 266,
"Burton, Richard, 1925-1984",actor,,,
,,LC Name Authority,http://id.loc.gov/authorities/names/n50047800.html,
,,Wikipedia,https://en.wikipedia.org/wiki/Richard_Burton,
,,IMDb,http://www.imdb.com/name/nm0000009/,
,,Theatricalia,http://theatricalia.com/person/2cw/richard-burton,
,,"The London Stage 1950-1959: A Calendar of Productions, Performers, and Personnel by J. P. Wearing",p. 266,
"Hines, Ronald, 1929-",actor,,,
,,LC Name Authority,http://id.loc.gov/authorities/names/n87922162.html,
,,Wikipedia,https://en.wikipedia.org/wiki/Ronald_Hines,
,,IMDb,http://www.imdb.com/name/nm0385711/,
,,Theatricalia,http://theatricalia.com/person/2bg/ronald-hines,
,,"The London Stage 1950-1959: A Calendar of Productions, Performers, and Personnel by J. P. Wearing",p. 266,
"Horsfall, Bernard, 1930-2013",actor,,,
,,LC Name Authority,http://id.loc.gov/authorities/names/nr2003006116.html,
,,Wikipedia,https://en.wikipedia.org/wiki/Bernard_Horsfall,
,,IMDb,http://www.imdb.com/name/nm0395420/,
,,Theatricalia,http://theatricalia.com/person/59d/bernard-horsfall,
,,"The London Stage 1950-1959: A Calendar of Productions, Performers, and Personnel by J. P. Wearing",p. 266,
"Ramsey, Michael",actor,,,
,,Theatricalia,http://theatricalia.com/person/twc/michael-ramsey,
,,"The London Stage 1950-1959: A Calendar of Productions, Performers, and Personnel by J. P. Wearing",p. 266,
"Squire, William, 1916-1989",actor,,,
,,LC Name Authority,http://id.loc.gov/authorities/names/no2003015214.html,
,,Wikipedia,https://en.wikipedia.org/wiki/William_Squire,
,,IMDb,http://www.imdb.com/name/nm0820109/,
,,Worldcat Identities,http://www.worldcat.org/identities/lccn-no2003-15214/,
,,Theatricalia,http://theatricalia.com/person/27p/william-squire,
"Neville, John, 1925-2011",actor,,,
,,LC Name Authority,http://id.loc.gov/authorities/names/n84003054.html,
,,Wikipedia,https://en.wikipedia.org/wiki/John_Neville_%28actor%29,
,,IMDb,http://www.imdb.com/name/nm0627453/,
,,Worldcat Identities,http://www.worldcat.org/identities/lccn-n84-3054/,
,,Theatricalia,http://theatricalia.com/person/tqy/john-neville,
,,"The London Stage 1950-1959: A Calendar of Productions, Performers, and Personnel by J. P. Wearing",p. 266,
"Daneman, Paul, 1925-2001",actor,,,
,,LC Name Authority,http://id.loc.gov/authorities/names/n84002994.html,
,,Wikipedia,https://en.wikipedia.org/wiki/Paul_Daneman,
,,IMDb,http://www.imdb.com/name/nm0199399/,
,,Theatricalia,http://theatricalia.com/person/tc1/paul-daneman,
,,"The London Stage 1950-1959: A Calendar of Productions, Performers, and Personnel by J. P. Wearing",p. 266,
"Gardiner, Maxwell -- aka Maxwell Gardiner Helpmann",actor,,,
,,Wikipedia,https://en.wikipedia.org/wiki/Robert_Helpmann,Brother to Robert Helpmann - not Maxwell's wikipedia page
,,IMDb,http://www.imdb.com/name/nm1974109/,
,,Theatricalia,http://theatricalia.com/person/veh/maxwell-gardiner,
,,"The London Stage 1950-1959: A Calendar of Productions, Performers, and Personnel by J. P. Wearing",p. 266,
"William, David, 1926-2010",actor,,,
,,LC Name Authority,http://id.loc.gov/authorities/names/no2009179182.html,
,,Wikipedia,https://en.wikipedia.org/wiki/David_William,
,,IMDb,http://www.imdb.com/name/nm0929900/,
,,Theatricalia,http://theatricalia.com/person/2n2/david-william,
,,"The London Stage 1950-1959: A Calendar of Productions, Performers, and Personnel by J. P. Wearing",p. 266,
"Gillespie, Robert, 1933-",actor,,,
,,LC Name Authority,http://id.loc.gov/authorities/names/no2009002028.html,
,,Wikipedia,https://en.wikipedia.org/wiki/Robert_Gillespie,
,,IMDb,http://www.imdb.com/name/nm0318971/,
,,Worldcat Identities,http://www.worldcat.org/identities/lccn-no2009-2028/,
,,Theatricalia,http://theatricalia.com/person/7h0/robert-gillespie,
,,"The London Stage 1950-1959: A Calendar of Productions, Performers, and Personnel by J. P. Wearing",p. 266,
"Williams, Clifford, 1926-2005",actor,,,
,,LC Name Authority,http://id.loc.gov/authorities/names/n96064033.html,
,,Wikipedia,https://en.wikipedia.org/wiki/Clifford_Williams_%28actor%29,
,,IMDb,http://www.imdb.com/name/nm0930299/,
,,IBDb,http://www.ibdb.com/Person/View/16502,
,,Theatricalia,http://theatricalia.com/person/27v/clifford-williams,
,,"The London Stage 1950-1959: A Calendar of Productions, Performers, and Personnel by J. P. Wearing",p. 266,
"Lamin, John, 1930-2011",actor,,,
,,Oxford Indext,http://oxfordindex.oup.com/view/10.1093/ref:odnb/104094,
,,Theatricalia,http://theatricalia.com/person/vek/john-lamin,
,,"The London Stage 1950-1959: A Calendar of Productions, Performers, and Personnel by J. P. Wearing",p. 266,
"Barbary, Robin",actor,,,
,,Theatricalia,http://theatricalia.com/person/vef/robin-barbary,
,,"The London Stage 1950-1959: A Calendar of Productions, Performers, and Personnel by J. P. Wearing",p. 266,
"Anouilh, Jean, 1910-1987",author/dramatist,,,
,,LC Name Authority,http://id.loc.gov/authorities/names/n80069026.html,
,,Wikipedia,https://en.wikipedia.org/wiki/Jean_Anouilh,
,,IBDb,http://www.ibdb.com/Person/View/6667,
,,Worldcat Identities,http://www.worldcat.org/identities/lccn-n80-69026/,
,,Theatricalia,http://theatricalia.com/person/32f/jean-anouilh,
"Clurman, Harold, 1901-198",director,,,
,,LC Name Authority,http://id.loc.gov/authorities/names/n50031831.html,
,,Wikipedia,https://en.wikipedia.org/wiki/Harold_Clurman,
,,IBDb,http://www.ibdb.com/Person/View/14448,
,,Encyclopedia Britannica,http://www.britannica.com/biography/Harold-Clurman,
"Harris, Julie, 1925-2013",actor,,,
,,LC Name Authority,http://id.loc.gov/authorities/names/n81086391.html,
,,Wikipedia,https://en.wikipedia.org/wiki/Julie_Harris_%28actress%29,
,,IMDb,http://www.imdb.com/name/nm0364915/,
,,IBDb,http://www.ibdb.com/Person/View/44243,
,,Theatricalia,http://theatricalia.com/person/1q5m/julie-harris,
"Pushkin, Aleksandr (Aleksandr Ivanovich),1907-1970",author/poet,,,
,,LC Name Authority,http://id.loc.gov/authorities/names/n97094020.html,
,,Wikipedia,https://en.wikipedia.org/wiki/Alexander_Pushkin,
,,Theatricalia,http://theatricalia.com/person/1zk0/alexander-pushkin,
"Tchaikovsky, Peter Ilych, 1840-1893",composer,,,
,,LC Name Authority,http://id.loc.gov/authorities/names/n79072979.html,
,,Wikipedia,https://en.wikipedia.org/wiki/Pyotr_Ilyich_Tchaikovsky,
,,Encyclopedia Britannica,http://www.britannica.com/biography/Pyotr-Ilyich-Tchaikovsky,
,,IBDb,http://www.ibdb.com/Person/View/12486,
,,Theatricalia,http://theatricalia.com/person/nyh/pyotr-ilyich-tchaikovsky,
"Loewe, Frederick, 1901-1988",composer,,,
,,LC Name Authority,http://id.loc.gov/authorities/names/n50047986.html,
,,Wikipedia,https://en.wikipedia.org/wiki/Frederick_Loewe,
,,IMDb,http://www.imdb.com/name/nm0517350/,
,,IBDb,http://www.ibdb.com/Person/View/5688,
,,Theatricalia,http://theatricalia.com/person/tyr/frederick-loewe,
"Robertson, James",director,,,
,,"The London Stage 1950-1959: A Calendar of Productions, Performers, and Personnel by J. P. Wearing","p. 164, 182",
,,tentative,http://theatricalia.com/person/xr1/james-robertson,
"Pollack, Anna, 1912-1996",actor,,,
,,LC Name Authority,http://id.loc.gov/authorities/names/no94000463.html,
,,Wikipedia,https://en.wikipedia.org/wiki/Anna_Pollak,
"Robinson, Elizabeth",actor,,,
,,IMDb,http://www.imdb.com/name/nm6351142/,
"Sharp, Frederick, 1873-1964",actor,,,
