NAME,VIAF NAME,VARIANTS NAMES,VIAF,WIKIPEDIA,WORLDCAT,LOC,IMDb,IBDb,LOC (Popular Graphic Arts),Notes
"Denin, Kate, 1837-1907","Denin, Kate, 1837-1907","Fox, Kate,
Kate Denin
Ryan, Kate Denin,
Wilson, John,
Wilson, Kate Denin,",http://viaf.org/viaf/250881874,https://en.wikipedia.org/wiki/Kate_Denin,http://www.worldcat.org/identities/lccn-no2009-114844,http://id.loc.gov/authorities/names/no2009114844,,https://www.ibdb.com/broadway-cast-staff/kate-denin-wilson-65238,,
"Denin, Susan, 1835-1875","Denin, Susan, 1835-1875",Susan Denin,http://viaf.org/viaf/313409800,https://en.wikipedia.org/wiki/Susan_Denin,http://www.worldcat.org/identities/lccn-n2014-78394/,http://id.loc.gov/authorities/names/n2014078394,,https://www.ibdb.com/broadway-cast-staff/susan-denin-412220,,
"Denning, Thomas, 1790-1821",,,,,,,,,,Nothing found
"Denvil, Henry Gaskell, 1804-1866","Denvil, Henry Gaskell, 1804-1866",,http://viaf.org/viaf/71222751,,http://www.worldcat.org/identities/lccn-no2008-187793/,http://id.loc.gov/authorities/names/no2008187793,,,,
"D'Eon de Beaumont, Charles Genevieve Louis Auguste Andre Timothee, 1728-1810","Eon, Charles de Beaumont d', 1728-1810","Beaumont d'Eon, Beaumont, Charles de
Beaumont, Charles Benevieve Loyis Auguste Andre Timothee d'Eon de
Beaumont, Charles Genevieve Louis Auguste Andre Timothee d
Beaumont, Charles d'Eon de
Beaumont, Charles de
Beaumont, Charles Eon de
Beaumont, Charles-Genevieve-Louis-Auguste-Andre-Timothee d'
Beaumont, M. Deon de
Beaumont, Eon de
Deon de
Chevlier d'Eon
",http://viaf.org/viaf/22151132/,https://en.wikipedia.org/wiki/Chevalier_d%27%C3%89on,http://www.worldcat.org/identities/lccn-n50082927/,http://id.loc.gov/authorities/names/n50082927,,,,
"Derickson, Marie",,,,,,,,,,Nothing found
"Dibdin, Ann, 1775-1828","Dibdin, Anne, approximately 1776-","Dibdin, Ann,
Dibdin, Anne,
Dibdin,",http://viaf.org/viaf/169963334/,,http://www.worldcat.org/identities/lccn-no2011051804/,http://id.loc.gov/authorities/names/no2011051804,,,,
"Dibdin, Anne","Dibdin, Anne, approximately 1776-","Dibdin, Ann,
Dibdin, Anne,
Dibdin,",http://viaf.org/viaf/169963334,,http://www.worldcat.org/identities/lccn-no2011051804/,http://id.loc.gov/authorities/names/no2011051804,,,,SAME AS ABOVE
"Dibdin, Charles, 1745-1814","Dibdin, Charles, 1745-1814.","Charles Dibdin
Dibdin, ...
Dibdin, ..
Dibdin, C.
Dibdin, Charles
Dibdin,
",http://viaf.org/viaf/22406778,https://en.wikipedia.org/wiki/Charles_Dibdin,http://www.worldcat.org/identities/lccn-n83-20562/,http://id.loc.gov/authorities/names/n83020562,,https://www.ibdb.com/broadway-cast-staff/charles-dibdin-4737,,
"Dibdin, Charles, 1768-1833","Dibdin, Charles, 1768-1833","Charles Dibdin le jeune
Charles Dibdin mladÅ¡Ã",http://viaf.org/viaf/203603,https://en.wikipedia.org/wiki/Charles_Dibdin_the_younger,http://www.worldcat.org/identities/lccn-n83-60559/,http://id.loc.gov/authorities/names/n83060559.html,,https://www.ibdb.com/broadway-cast-staff/charles-dibdin-117430,,
"Dibdin, Thomas John, 1771-1841","Dibdin, Thomas John, 1771-1841","Dibdin, T.
Dibdin, Thomas J.
Dibdin, Thomas John
Dibdin, Thomas
Merchant, T.
Thomas Dibdin
Thomas John Dibdin",http://viaf.org/viaf/69673002/,https://en.wikipedia.org/wiki/Thomas_John_Dibdin,http://www.worldcat.org/identities/lccn-n82154725/,http://id.loc.gov/authorities/names/n82154725,,https://www.ibdb.com/broadway-cast-staff/thomas-dibdin-117428,,
"Dickons, Maria, ca. 1774-1833","Dicksons, Maria, approximately 1774-1833","Dickons, Maria
Dicksons, Mrs.
Dicksons, Peter Mrs.
Dickons, Mrs. (Maria)
Dickons (Maria), Mrs,
Mrs. Dickons
Poole, Maria
Poole, Martha Frances Caroline 
Poole, Miss
Poole, Miss (Maria)",http://viaf.org/viaf/29096041/,https://en.wikipedia.org/wiki/Maria_Dickons,http://www.worldcat.org/identities/lccn-no91016668/,http://id.loc.gov/authorities/names/no91016668,,,,
"Digges, West, 1720?-1786","Digges, West, 1720?-1786",West Digges,http://viaf.org/viaf/77719902,https://en.wikipedia.org/wiki/West_Digges,http://www.worldcat.org/identities/lccn-n84-136433/,http://id.loc.gov/authorities/names/n84136433,,,,
"Dighton, Robert 1752-1814","Dighton, Robert 1752-1814","Deighton
Dighton, Robert
Robert Dighton
Robert, the elder Dighton",http://viaf.org/viaf/22248964/,https://en.wikipedia.org/wiki/Robert_Dighton,http://www.worldcat.org/identities/lccn-n82078183/,http://id.loc.gov/authorities/names/n82078183,,,,Tentative match based on UIUC entry info crosslisted with actor of same name in same time period. Name changed to reflect.
"Dignum, Charles, 1765-1827","Dignum, Charles, 1765-1827","Charles Dignum
Dignum, ...
Dignum, ..
Dignum,
Dignum",http://viaf.org/viaf/30969418,https://en.wikipedia.org/wiki/Charles_Dignum,http://www.worldcat.org/identities/lccn-n85-122391/,http://id.loc.gov/authorities/names/n85122391,,,,
"Dillon, Charles, 1819-1881","Dillon, Charles, 1819-1881",Charles Dillon,http://viaf.org/viaf/33370928,https://en.wikipedia.org/wiki/Charles_Dillon_(actor-manager),http://www.worldcat.org/identities/lccn-n83-65130/,http://id.loc.gov/authorities/names/n83065130,,,,
"Dimond, William Wyatt, d. 1812",,,,,,,,,,No LOD links found. See Art UK: https://artuk.org/discover/artworks/william-wyatt-dimond-17501812-39825
"Dippel, Andreas, 1866-1932","Dippel, Andreas 1866-1932","Andreas Dippel
Dippel, Andreas,
Dippel, Andreas",http://viaf.org/viaf/35554530,https://en.wikipedia.org/wiki/Andreas_Dippel,http://www.worldcat.org/identities/lccn-n97-860408/,http://id.loc.gov/authorities/names/n97860408,,https://www.ibdb.com/broadway-cast-staff/andreas-dippel-21144,,
"Dixon, George Washington, 1808-1861",George Washington Dixon American entertainer,"Dixon, G. W.
George Washington Dixon",http://viaf.org/viaf/75588715/,https://en.wikipedia.org/wiki/George_Washington_Dixon,http://www.worldcat.org/identities/lccn-n96108014/,http://id.loc.gov/authorities/names/n96108014,,,,
"Dodd, James William, 1740?-1796","Dodd, James William, 1740?-1796",James William Dodd,http://viaf.org/viaf/44194606,https://en.wikipedia.org/wiki/James_William_Dodd,http://www.worldcat.org/identities/lccn-nr96-4254/,http://id.loc.gov/authorities/names/nr96004254,,,,
"Dolby, Charlotte Helen, 1821-1885","Sainton-Dolby, Charlotte, 1821-1885","Charlotte Sainton-Dolby
Dolby, Charlotte Helen
Dolby, Charlotte Helene
Dolby, Helen
Dolby, Charlotte
Helene von Dolby
Sainton, C. H.
Sainton, Helen
Sainton-Dolby, Charlotte H.
Sainton-Dolby, Charlotte Helen
Sainton-Dolby, Helen
",http://viaf.org/viaf/59829380/,https://en.wikipedia.org/wiki/Charlotte_Sainton-Dolby,http://www.worldcat.org/identities/lccn-no2009184282/,http://id.loc.gov/authorities/names/no2009184282,,,,
"Dolman, John, ca. 1824-1895",,,,,,,,,,Nothing found
"Don, William Henry, Sir, 1826-1862","Don, William Henry, 1825-1862","Don, W. H. 
Don, William Henry, Sir
Don, William
William Don",http://viaf.org/viaf/29318725/,"https://en.wikipedia.org/wiki/Sir_William_Don,_7th_Baronet",http://www.worldcat.org/identities/lccn-no2007-101140/,http://id.loc.gov/authorities/names/no2007101140.html,,,,
"Doran, John, 1807-1878","Doran, Dr. John, 1807-1878","Doran
Doran, John
Doran, (John) Dr.
Doran, Dr.
Iohannes Doran
John Doran",http://viaf.org/viaf/102323969/,https://en.wikipedia.org/wiki/John_Doran_(writer),http://www.worldcat.org/identities/lccn-n50026733/,http://id.loc.gov/authorities/names/n50026733,,,,
"Dormer, Mr., fl. ca. 1805",,,,,,,,,,Nothing found
"Downing, Robert L., 1857-1944","Downing, Robert L.",,http://viaf.org/viaf/38424404/,https://en.wikipedia.org/wiki/Robert_L._Downing,http://www.worldcat.org/identities/lccn-n87119976/,http://id.loc.gov/authorities/names/n87119976,,,,
"Dowton, William, 1764-1851","Dowton, William, 1764-1851","Dowton,
Dowton
William Dowton",http://viaf.org/viaf/28537790,https://en.wikipedia.org/wiki/William_Dowton,http://www.worldcat.org/identities/lccn-n85-388141/,http://id.loc.gov/authorities/names/n85388141,,,,
