TEI ID,TITLE,LEVEL,TYPE,PARENT NODE,URL,Notes
c47020,The New York Herald,j,,bibl,http://fultonhistory.com/my%20photo%20albums/All%20Newspapers/New%20York%20NY%20Herald/index.html,
c47100,The New York Herald,j,,bibl,http://fultonhistory.com/my%20photo%20albums/All%20Newspapers/New%20York%20NY%20Herald/index.html,
c47230,The New York Herald,j,,bibl,http://fultonhistory.com/my%20photo%20albums/All%20Newspapers/New%20York%20NY%20Herald/index.html,
c47300,The New York Herald,j,,bibl,http://fultonhistory.com/my%20photo%20albums/All%20Newspapers/New%20York%20NY%20Herald/index.html,
c47310,The New York Herald,j,,bibl,http://fultonhistory.com/my%20photo%20albums/All%20Newspapers/New%20York%20NY%20Herald/index.html,
c47650,The New York Herald,j,,bibl,http://fultonhistory.com/my%20photo%20albums/All%20Newspapers/New%20York%20NY%20Herald/index.html,
c47870,The New York Herald,j,,bibl,http://fultonhistory.com/my%20photo%20albums/All%20Newspapers/New%20York%20NY%20Herald/index.html,
c47900,The New York Herald,j,,bibl,http://fultonhistory.com/my%20photo%20albums/All%20Newspapers/New%20York%20NY%20Herald/index.html,
c48010,The New York Herald,j,,bibl,http://fultonhistory.com/my%20photo%20albums/All%20Newspapers/New%20York%20NY%20Herald/index.html,
c48040,The New York Herald,j,,bibl,http://fultonhistory.com/my%20photo%20albums/All%20Newspapers/New%20York%20NY%20Herald/index.html,
c48070,The New York Herald,j,,bibl,http://fultonhistory.com/my%20photo%20albums/All%20Newspapers/New%20York%20NY%20Herald/index.html,
c48450,The New York Herald,j,,bibl,http://fultonhistory.com/my%20photo%20albums/All%20Newspapers/New%20York%20NY%20Herald/index.html,
c48710,The New York Herald,j,,bibl,http://fultonhistory.com/my%20photo%20albums/All%20Newspapers/New%20York%20NY%20Herald/index.html,
c48730,The New York Herald,j,,bibl,http://fultonhistory.com/my%20photo%20albums/All%20Newspapers/New%20York%20NY%20Herald/index.html,
c48850,The New York Herald,j,,bibl,http://fultonhistory.com/my%20photo%20albums/All%20Newspapers/New%20York%20NY%20Herald/index.html,
c48850,The New York Herald,j,,bibl,http://fultonhistory.com/my%20photo%20albums/All%20Newspapers/New%20York%20NY%20Herald/index.html,
c48890,The New York Herald,j,,bibl,http://fultonhistory.com/my%20photo%20albums/All%20Newspapers/New%20York%20NY%20Herald/index.html,
c48910,The New York Herald,j,,bibl,http://fultonhistory.com/my%20photo%20albums/All%20Newspapers/New%20York%20NY%20Herald/index.html,
c48930,The New York Herald,j,,bibl,http://fultonhistory.com/my%20photo%20albums/All%20Newspapers/New%20York%20NY%20Herald/index.html,
