Production,Year,Location,Source,Source Type,Link,
Paul Bunyan,1976,"Sadler's Wells Theatre (London, England)",,,,
,,,Wikipedia,Broad,https://en.wikipedia.org/wiki/Paul_Bunyan_%28operetta%29,
Tosca,1976,"London Coliseum (London, England)",,,,
,,,Wikipedia,Broad,https://en.wikipedia.org/wiki/Tosca#Reception_and_performance_history,
Antony and Cleopatra,1946,"Piccadilly Theatre (London, England)",,,,
,,,Wikipedia,Broad,https://en.wikipedia.org/wiki/Antony_and_Cleopatra,
Antony and Cleopatra,1953,"Shakespeare Memorial Theatre (Stratford-upon-Avon, England)",,,,
,,,Theatricalia,Specific,http://theatricalia.com/play/1z/antony-and-cleopatra/production/xh,
King John,1953,"Old Vic Theatre (London, England)",,,,
,,,Theatricalia,Specific,http://theatricalia.com/play/1m/king-john/production/8m1,
,,,Wikipedia,Broad,https://en.wikipedia.org/wiki/King_John_%28play%29,
Romeo and Juliet,1954,Royal Shakespeare Company,Leningrad,"Royal Shakespeare Theatre (Stratford-upon-Avon, England)",,
,,,Theatricalia,Specific,http://theatricalia.com/play/n/romeo-and-juliet/production/xm,
Julius Caesar,nd,n/a,,,,
,,,Theatricalia,Tentative,http://theatricalia.com/play/1g/julius-caesar/production/y8,
,,,Wikipedia,Broad,https://en.wikipedia.org/wiki/Julius_Caesar_(play),
Julius Caesar,nd,"Royal Shakespeare Theatre (Stratford-upon-Avon, England)",,,,
,,,Theatricalia,Tentative,http://theatricalia.com/play/1g/julius-caesar/production/wq,
Don Giovanni,nd,n/a,,,,
,,,Wikipedia,Broad,https://en.wikipedia.org/wiki/Don_Giovanni,
King Stag,1946,"Lyric Theatre (Hammersmith, London, England)",,,,
,,,Theatricalia,Specific,http://theatricalia.com/play/3pv/king-stag/production/843,
,,,,Tentative,http://www.samuelfrench.com/p/3655/king-stag-the-wildman,
Love Match,nd,n/a,,,,
,,,NO SOURCE,NO SOURCE,NO SOURCE,
Snow Queen,1947,"Alexandra Theatre (Stoke Newington, England)",,,,
,,,Theatricalia,Specific,http://theatricalia.com/play/3r3/the-snow-queen/production/86s,
,,,Wikipedia,Broad,https://en.wikipedia.org/wiki/The_Snow_Queen,
Midsummer Night's Dream,1954,"Royal Shakespeare Theatre (Stratford-upon-Avon, England)",,,,
,,,Theatricalia,Specific,http://theatricalia.com/play/1e/a-midsummer-nights-dream/production/xk,
Midsummer Night's Dream,1948,"Old Vic Theatre (London, England)",,,,
,,,Theatricalia,Specific,http://theatricalia.com/play/1e/a-midsummer-nights-dream/production/8aa,
,,,Wikipedia,Broad,https://en.wikipedia.org/wiki/A_Midsummer_Night's_Dream,
Troilus and Cressida,1948,"Shakespeare Memorial Theatre (Stratford-upon-Avon, England)",,,,
,,,Theatricalia,Specific,http://theatricalia.com/play/35/troilus-and-cressida/production/w9,
,,,Wikipedia,Broad,https://en.wikipedia.org/wiki/Troilus_and_Cressida,
As You Like It,1949,"Old Vic Theatre (London, England)",,,,
,,,Wikipedia,Broad,https://en.wikipedia.org/wiki/As_You_Like_It,
As You Like It,1957,"Royal Shakespeare Theatre (Stratford-upon-Avon, England)",,,,
,,,Theatricalia,Specific,http://theatricalia.com/play/3/as-you-like-it/production/y5,
Heiress,1949,"Haymarket Theatre (London, England)",,,,
,,,Wikipedia,Broad,https://en.wikipedia.org/wiki/The_Heiress_%281947_play%29,
Henry V,1951,"Old Vic Theatre (London, England)",,,,
,,,Theatricalia,Specific,http://theatricalia.com/play/1y/henry-v/production/8bq,
,,,Wikipedia,Broad,https://en.wikipedia.org/wiki/Henry_V_%28play%29,
Wedding,1951,"Old Vic Theatre (London, England)",,,,
,,,Theatricalia,Specific,http://theatricalia.com/play/3tb/the-wedding/production/8bs,
,,,Wikipedia,Broad,https://en.wikipedia.org/wiki/The_Wedding_(1901_play),
Rosmersholm,1959,"Royal Court Theatre (London, England)",,,,
,,,Theatricalia,Specific,http://theatricalia.com/play/1zm/rosmersholm/production/9as,
,,,Wikipedia,Broad,https://en.wikipedia.org/wiki/Rosmersholm,
Most Happy Fella,nd,n/a,,,,
